Biračko mjesto:,municipality_ID,party,values
001A003,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A004,001,BPS - SEFER HALILOVIĆ,0
001A004,001,STRANKA ZA BOSNU I HERCEGOVINU,17
001A004,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,49
001A004,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A004,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,228
001A004,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A004,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A004,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A004,001,SDA - STRANKA DEMOKRATSKE AKCIJE,41
001A004,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A004,001,NARODNA STRANKA RADOM ZA BOLJITAK,39
001A004,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A004,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A004,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1
001A004,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,1
001A004,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,2
001A004,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A004,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,25
001A004,001,PARTIJA PRAVOG PUTA,0
001A004,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,4
001A004,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A004,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A005,001,BPS - SEFER HALILOVIĆ,0
001A005,001,STRANKA ZA BOSNU I HERCEGOVINU,11
001A005,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,39
001A005,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2
001A005,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,216
001A005,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A005,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,2
001A005,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A005,001,SDA - STRANKA DEMOKRATSKE AKCIJE,35
001A005,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A005,001,NARODNA STRANKA RADOM ZA BOLJITAK,34
001A005,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,7
001A005,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,1
001A005,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
