election_unit_ID,election_type,year,polling_station_ID,municipality_ID,party,party_abrev,votes,candidate
201,kanton,2010,001A004,001,BPS - SEFER HALILOVIĆ,BPS,1,
201,kanton,2010,001A004,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,17,
201,kanton,2010,001A004,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,46,
201,kanton,2010,001A004,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,2,
201,kanton,2010,001A004,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,213,
201,kanton,2010,001A004,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0,
201,kanton,2010,001A004,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,4,
201,kanton,2010,001A004,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A004,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A004,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,34,
201,kanton,2010,001A004,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A004,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,0,
201,kanton,2010,001A004,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
201,kanton,2010,001A004,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,3,
201,kanton,2010,001A004,001,HSP BIH,HSP BIH,0,
201,kanton,2010,001A004,001,HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990,HDZ 1990,0,
201,kanton,2010,001A004,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,SUND BiH,1,
201,kanton,2010,001A004,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,7,
201,kanton,2010,001A004,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,SzaN BiH,0,
201,kanton,2010,001A004,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,10,
201,kanton,2010,001A004,001,PARTIJA PRAVOG PUTA,PPP,0,
201,kanton,2010,001A004,001,STRANKA KOKUZA - SKOK,SKOK,0,
201,kanton,2010,001A004,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,3,
201,kanton,2010,001A004,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",64,
201,kanton,2010,001A004,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
201,kanton,2010,001A005,001,BPS - SEFER HALILOVIĆ,BPS,0,
201,kanton,2010,001A005,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,8,
201,kanton,2010,001A005,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,32,
201,kanton,2010,001A005,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,2,
201,kanton,2010,001A005,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,211,
201,kanton,2010,001A005,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0,
201,kanton,2010,001A005,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,0,
201,kanton,2010,001A005,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A005,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A005,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,35,
201,kanton,2010,001A005,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A005,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,3,
201,kanton,2010,001A005,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
201,kanton,2010,001A005,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,4,
201,kanton,2010,001A005,001,HSP BIH,HSP BIH,0,
201,kanton,2010,001A005,001,HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990,HDZ 1990,0,
201,kanton,2010,001A005,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,SUND BiH,3,
201,kanton,2010,001A005,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,4,
201,kanton,2010,001A005,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,SzaN BiH,1,
201,kanton,2010,001A005,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,16,
201,kanton,2010,001A005,001,PARTIJA PRAVOG PUTA,PPP,0,
201,kanton,2010,001A005,001,STRANKA KOKUZA - SKOK,SKOK,0,
201,kanton,2010,001A005,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,1,
201,kanton,2010,001A005,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",56,
201,kanton,2010,001A005,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
201,kanton,2010,001A006,001,BPS - SEFER HALILOVIĆ,BPS,1,
201,kanton,2010,001A006,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,22,
201,kanton,2010,001A006,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,48,
201,kanton,2010,001A006,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,3,
201,kanton,2010,001A006,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,195,
201,kanton,2010,001A006,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0,
201,kanton,2010,001A006,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,0,
201,kanton,2010,001A006,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A006,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A006,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,40,
201,kanton,2010,001A006,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A006,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,0,
201,kanton,2010,001A006,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
