Biračko mjesto:,municipality_ID,candidate,votes
007B001,007,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,1.0
007B002,007,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,1.0
007B002,007,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,28.0
007B002,007,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,4.0
007B002,007,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1.0
007B002,007,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,8.0
007B002,007,KRNDELJ IVAN - HSS - NHI,0.0
007B002,007,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B002,007,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,8.0
007B002,007,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1.0
007B002,007,ЂУРЂЕВИЋ ДРАГАН - СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,5.0
007B002,007,HAMIDOVIĆ BESIM - STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,1.0
007B002,007,КАЛИНИЋ ДРАГАН - САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,6.0
007B002,007,NUKIĆ SADMIR - SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,12.0
007B002,007,МАТИЋ ГОРАН - МАТИЋ ГОРАН - НЕЗАВИСНИ КАНДИДАТ,1.0
007B002,007,ТАДИЋ ОГЊЕН - КОАЛИЦИJА ЗАJЕДНО ЗА СРПСКУ,188.0
007B002,007,ДОДИК МИЛОРАД - СНСД - ДНС - СП,304.0
007B002,007,MATIĆ ŽELJKO - HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,1.0
007B002,007,SULEJMANOVIĆ BEGO - LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B002,007,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,1.0
007B003,007,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,2.0
007B003,007,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,48.0
007B003,007,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,15.0
007B003,007,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,3.0
007B003,007,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,55.0
007B003,007,KRNDELJ IVAN - HSS - NHI,0.0
007B003,007,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B003,007,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,2.0
007B003,007,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0.0
007B003,007,ЂУРЂЕВИЋ ДРАГАН - СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,5.0
007B003,007,HAMIDOVIĆ BESIM - STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,3.0
007B003,007,КАЛИНИЋ ДРАГАН - САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B003,007,NUKIĆ SADMIR - SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,11.0
