Election,Election Unit,Type,Party,Votes
parliament_bih,521,POŠTOM,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,5
parliament_bih,521,POŠTOM,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,86
parliament_bih,521,POŠTOM,НАРОДНА ДЕМОКРАТСКА СТРАНКА,15
parliament_bih,521,POŠTOM,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,11
parliament_bih,521,POŠTOM,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0
parliament_bih,521,POŠTOM,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,3
parliament_bih,521,POŠTOM,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,665
parliament_bih,521,POŠTOM,СРПСКА НАПРЕДНА СТРАНКА,3
parliament_bih,521,POŠTOM,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,145
parliament_bih,521,POŠTOM,KOALICIJA PREOKRET: GDS BIH I NEP BIH,11
parliament_bih,521,POŠTOM,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,87
parliament_bih,521,POŠTOM,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0
parliament_bih,521,POŠTOM,HSS - NHI,487
parliament_bih,521,POŠTOM,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,51
parliament_bih,521,ODUSTVO,STRANKA ZA BOSNU I HERCEGOVINU,62
parliament_bih,521,ODUSTVO,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,77
parliament_bih,521,ODUSTVO,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,12
parliament_bih,521,ODUSTVO,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,69
parliament_bih,521,ODUSTVO,СОЦИЈАЛИСТИЧКА ПАРТИЈА,19
parliament_bih,521,ODUSTVO,SDA - STRANKA DEMOKRATSKE AKCIJE,58
parliament_bih,521,ODUSTVO,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,58
parliament_bih,521,ODUSTVO,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,27
parliament_bih,521,ODUSTVO,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,447
parliament_bih,521,ODUSTVO,НАРОДНА ДЕМОКРАТСКА СТРАНКА,27
parliament_bih,521,ODUSTVO,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,10
parliament_bih,521,ODUSTVO,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,1
parliament_bih,521,ODUSTVO,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,15
parliament_bih,521,ODUSTVO,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,68
parliament_bih,521,ODUSTVO,СРПСКА НАПРЕДНА СТРАНКА,5
parliament_bih,521,ODUSTVO,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,13
parliament_bih,521,ODUSTVO,KOALICIJA PREOKRET: GDS BIH I NEP BIH,3
parliament_bih,521,ODUSTVO,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2
parliament_bih,521,ODUSTVO,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,1
parliament_bih,521,ODUSTVO,HSS - NHI,0
parliament_bih,521,ODUSTVO,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,6
parliament_bih,521,POTVRÐENI,STRANKA ZA BOSNU I HERCEGOVINU,13
parliament_bih,521,POTVRÐENI,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,13
parliament_bih,521,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,2
parliament_bih,521,POTVRÐENI,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,7
parliament_bih,521,POTVRÐENI,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
parliament_bih,521,POTVRÐENI,SDA - STRANKA DEMOKRATSKE AKCIJE,5
parliament_bih,521,POTVRÐENI,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,3
parliament_bih,521,POTVRÐENI,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,5
parliament_bih,521,POTVRÐENI,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,19
parliament_bih,521,POTVRÐENI,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0
parliament_bih,521,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,1
parliament_bih,521,POTVRÐENI,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,1
parliament_bih,521,POTVRÐENI,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0
parliament_bih,521,POTVRÐENI,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0
parliament_bih,521,POTVRÐENI,СРПСКА НАПРЕДНА СТРАНКА,1
parliament_bih,521,POTVRÐENI,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,1
parliament_bih,521,POTVRÐENI,KOALICIJA PREOKRET: GDS BIH I NEP BIH,0
parliament_bih,521,POTVRÐENI,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0
parliament_bih,521,POTVRÐENI,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0
parliament_bih,521,POTVRÐENI,HSS - NHI,0
parliament_bih,521,POTVRÐENI,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
parliament_bih,515,POŠTOM,BPS - SEFER HALILOVIĆ,43
parliament_bih,515,POŠTOM,STRANKA ZA BOSNU I HERCEGOVINU,359
parliament_bih,515,POŠTOM,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,424
parliament_bih,515,POŠTOM,DEMOKRATSKA STRANKA INVALIDA BIH,6
parliament_bih,515,POŠTOM,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,52
parliament_bih,515,POŠTOM,SDA - STRANKA DEMOKRATSKE AKCIJE,286
parliament_bih,515,POŠTOM,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,2
parliament_bih,515,POŠTOM,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,6
parliament_bih,515,POŠTOM,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,14
parliament_bih,515,POŠTOM,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,237
parliament_bih,515,POŠTOM,STRANKA KOKUZA - SKOK,11
parliament_bih,515,POŠTOM,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,59
parliament_bih,515,POŠTOM,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,5
