Biračko mjesto:,municipality_ID,party,votes
006B003,006,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,1.0
006B003,006,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B003,006,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
006B004,006,STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B004,006,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B004,006,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,1.0
006B004,006,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,17.0
006B004,006,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B004,006,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
006B004,006,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B004,006,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,12.0
006B004,006,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,66.0
006B004,006,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B004,006,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,30.0
006B004,006,НАРОДНА ДЕМОКРАТСКА СТРАНКА,11.0
006B004,006,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,3.0
006B004,006,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
006B004,006,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B004,006,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
006B004,006,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B004,006,СРПСКА НАПРЕДНА СТРАНКА,0.0
006B004,006,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,1.0
006B004,006,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0.0
006B004,006,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B004,006,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B000,007,STRANKA ZA BOSNU I HERCEGOVINU,0.0
007B000,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
007B000,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0.0
007B000,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,0.0
007B000,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
007B000,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
007B000,007,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
