701 PREDSJEDNIŠTVO BIH BOŠNJAČKI ČLAN / ПРЕДСЈЕДНИШТВО БИХ БОШЊАЧКИ ЧЛАН 
00001 BPS-SEFER HALILOVIĆ 
  HALILOVIĆ SEFER 
01182 SBB - FAHRUDIN RADONČIĆ 
  RADONČIĆ FAHRUDIN 
01190 STRANKA DIJASPORE BOSNE I HERCEGOVINE 
"01743 HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE "
1  RADOVANOVIĆ IGOR 
2  PANDŽIĆ ŽANA 
3  PRANJIĆ DRAGAN 
4  KABULA MIA 
5  ZEKIĆ SREĆKO 
00769 HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA 
1  HRGIĆ ROBERT 
00877 NAŠA STRANKA 
1  MUSTAFIĆ EDIN 
2  BEŠLIJA VILDANA 
3  REPOVAC NIKŠIĆ VALIDA 
4  ZULFIKARPAŠIĆ AMRA 
5  OPAČIN NERKEZ 
6  KRSTIĆ AIDA 
7  PITA SUAD 
8  ČAVAR ANDREA 
9  BAROŠ IGOR 
01254 NOVI POKRET BIH 
1  BAŠIĆ HAZIM 
00502 NARODNA STRANKA RADOM ZA BOLJITAK 
1  PAŠALIĆ AMIR 
2  DŽANKIĆ AJLA 
3  KARAHASANOVIĆ AMIR 
4  HODŽIĆ NAIDA 
5  ĐULANČIĆ ADMIR 
6  SMAJIĆ LEJLA 
7  SEJDIĆ HASAN 
514 ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 4A / 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 4А 
01754 ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ) 
1  HADŽIĆ RAGIB 
2  RADELJAK SANDRA 
3  LAGUMDŽIJA MELISA 
4  ALIĆ ADMIRA 
5  PORČA HAZIM 
6  MUSTABAŠIĆ HIMZO 
7  KARAHASANOVIĆ FEHIM 
8  MARKOVIĆ ZORAN 
00882 A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI 
1  KURGAŠ ESAD 
2  ĆATIĆ JASMINA 
00001 BPS-SEFER HALILOVIĆ 
1  HRUSTIĆ ERDIN 
2  ČIVIĆ SELMA 
3  SIROTANOVIĆ ARIF 
4  HASIĆ ALMIRA 
5  HRNJIĆ SAID 
6  ŠIŠIĆ SANELA 
7  ŽDRALOVIĆ DŽEVAD 
01755 SNAGA BIH - HSP BIH-DSI 
1  PERIĆ MIJO 
2  DUJMOVIĆ MARIJA 
3  STOJAK VILIM 
4  FERHATBEGOVIĆ MELIHA 
5  TOKIĆ GORAN 
01687 UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS 
1  VLAHOVLJAK ENES 
2  SALKIĆ AMRA 
3  HUSAK EMIR 
01182 SBB - FAHRUDIN RADONČIĆ 
1  ISAKOVIĆ MIRSAD 
2  LATIĆ KERMO NEJRA 
3  DAGOJA MUSTAFA 
4  MUŠANOVIĆ JASMIN 
5  RUSTEMPAŠIĆ SELMA 
6  SALETOVIĆ ŠEMSO 
7  FEJZIĆ HANA 
8  MUJEZINOVIĆ MUHAMED 
9  DŽEVAHIRIĆ ARNESA 
10  ZULUM MUJO 
11  PULJIĆ DANIJELA 
01190 STRANKA DIJASPORE BOSNE I HERCEGOVINE 
1  HUSEINSPAHIĆ ADNAN 
01714 HRVATSKI SAVEZ HKDU - HRAST 
1  GALIĆ PETAR 
2  JUGOVIĆ MONIKA 
3  VUJICA BORO 
00008 SDP-SOCIJALDEMOKRATSKA PARTIJA BIH 
1  MEŠIĆ MIRSAD 
2  MATIĆ ANA 
3  BRATIĆ ISMAR 
4  ZAIMOVIĆ-UZUNOVIĆ NERMINA 
5  TOLIĆ TADIJA 
6  BALORDA SENKA 
7  MUJIĆ AMEL 
8  SALKIČEVIĆ-DIZDAREVIĆ ERMINA 
9  SABELJA IVAN 
10  BRADARIĆ MEHMED 
11  BEGIĆ JASMINKA 
00036 BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ 
1  KLIČIĆ RASIM 
2  KAPETAN ADNANA 
00090 SDA - STRANKA DEMOKRATSKE AKCIJE 
1  DŽAFEROVIĆ ŠEFIK 
2  KAPETANOVIĆ NERMINA 
3  GENJAC HALID 
4  MEHMEDOVIĆ ŠEMSUDIN 
5  MASLIĆ FATIMA 
6  MUJIĆ MIRSAD 
7  KRNJIĆ ZIJAD 
8  MUDROV NISVETA 
9  REDŽIĆ AZRA 
10  ZUKIĆ AMIR 
01698 DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ 
1  BEGANOVIĆ MENSURA 
2  KAJIMOVIĆ SENAD 
3  GLAVAŠ VLATKO 
4  GASAL-GVOZDENOVIĆ EMIRA 
5  BERBEROVIĆ EDIN 
6  KOKIĆ ČEHAJA EDINA 
7  ŠPORER JOSIP 
8  SUJOLDŽIĆ ELIS 
9  BAJRAKTAREVIĆ AIDA 
10  MUHAREMOVIĆ NUSMIR 
11  DEDIĆ VILDANA 
00004 STRANKA ZA BOSNU I HERCEGOVINU 
1  CERO IBRAHIM 
2  PAŠALIĆ ENISA 
3  DURIĆ DŽEMIL 
4  BAJRAKTAREVIĆ TATJANA 
5  NIKOLIĆ NEBOJŠA 
6  RIZVIĆ AMIRA 
7  AJANOVIĆ EKREM 
8  BJELOPOLJAK TAIB 
9  GORALIJA-IMAMOVIĆ AMNA 
10  HODŽIĆ ASMIR 
"01743 HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE "
1  LOVRINOVIĆ NIKOLA 
2  PENDEŠ MARINA 
3  LOZANČIĆ NIKO 
4  UDOVIČIĆ IVICA 
5  PLAVČIĆ MIRJANA 
6  KVASINA MARIO 
7  MAĐAR-ŠIMIĆ IVANKA 
8  STAPIĆ MIROSLAV 
9  ŠIŠIĆ BILJANA 
10  ŠUGIĆ TADIJA 
00769 HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA 
1  DŽAMBAS DRAGO 
2  GREBENAR IVONA 
3  MARIĆ VINKO 
4  MILJAK VEDRAN 
5  LOVRIĆ DANIJELA 
6  BATINIĆ ZDRAVKO 
7  ZEC IVAN 
8  KOLENDA STJEPANA 
9  VUKOVIĆ DANIJELA 
10  BULAJIĆ ANTON 
01254 NOVI POKRET BIH 
1  EMIĆ AZRA 
2  ČEČO MUSTAFA 
